Giá,Khoảng_giá_min,Khoảng_giá_max,Thương_hiệu,Dòng_xe,Số_Km_đã_đi,Loại_xe,Dung_tích_xe,Xuất_xứ,Tuổi_đời_xe,Km_per_Year,Text_Raw,is_hqcn,is_nhap_y,is_abs,is_smartkey,is_vip_plate,is_zin,is_chinh_chu,Giá_Dự_Đoán,Residuals
8000000.0,8.35 tr,9.81 tr,Yamaha,Sirius,30000,Xe số,100 - 175 cc,Nhật Bản,9,3000.0,xe dư cần bán cho ae sử dụng xe dư nha bỏ chật chỗ cần bán cho ae cần đi lại xe còn chạy ngon về chỉ đỗ xăng là đi ko lỗi nhỏ,0,0,0,0,0,0,0,9286504.589393562,-1286504.5893935617
5500000.0,6.48 tr,7.61 tr,Piaggio,Vespa,18273,Tay ga,100 - 175 cc,Việt Nam,17,1015.1666666666666,bán xe vespa trắng cũ xuất xứ vn tình trạng 80 bảo hành máy chạy êm,0,0,0,0,0,0,0,7940467.479769395,-2440467.4797693947
3200000.0,6.74 tr,7.91 tr,Honda,Citi,20000,Xe số,50 - 100 cc,Nhật Bản,25,769.2307692307693,xe citi máy nổ êm giấy tờ đầy đủ biển tp hcm do ko có nhu cầu sử dụng nữa nên cần sang lại chiếc xe máy citi xe còn nổ rất êm có cà vet đầy đủ biên số tp hcm ae ai cần alo,0,0,0,0,0,0,0,9462019.158374945,-6262019.158374945
62500000.0,54.03 tr,63.43 tr,Honda,SH Mode,5500,Tay ga,100 - 175 cc,Việt Nam,2,1833.3333333333333,honda shmode abs xám đen 7 2024 nguyên zin bán xe honda shmode fi 125 thắng abs màu xám đen mua 7 2024 xe nguyên zin đi đúng 5500 km bao zin xe còn rất mới máy mạnh ngon êm ru biển số thành phố quận 11 ngay chủ ký công chứng sang tên hoặc ủy quyền 20 năm giá bán 62 triệu 500 xem xe mua bán tại nhà phường 13 quận 11,0,1,1,0,0,1,0,57965932.53968254,4534067.460317463
28000000.0,10.63 tr,12.48 tr,Hãng khác,Dòng khác,30,Tay côn/Moto,50 - 100 cc,Việt Nam,4,6.0,cần bán xe mọi thông tin thắc mắc xin vui lòng liên hệ giao xe tận tay nếu cần giấy tờ đầy đủ,0,0,0,0,0,0,0,20889749.656395104,7110250.343604896
1900000.0,4.04 tr,4.74 tr,Yamaha,Nouvo,150000,Tay ga,100 - 175 cc,Không rõ,16,8823.529411764706,xe rẻ cho sinh viên người đi làm có chiếc xe nouvo tuy đời cũ nhưng linh kiện thay mới liên tục chạy êm như airblade thích hợp cho sinh viên người đi làm,0,0,0,0,0,0,0,5120924.684005422,-3220924.6840054216
12800000.0,8.81 tr,10.34 tr,Yamaha,Nozza,25000,Tay ga,100 - 175 cc,Việt Nam,13,1785.7142857142858,xe nozza xe đẹp mới bstp 9 chủ đi kỹ vision grande cần bán xe nozza fi cuối 2012 xe bác mình mua mới ít đi nay lớn tuổi nên ko dùng xe bstp 1 chủ mua mới xe đi 25 000km xe còn đẹp mọi thứ zin nguyên bản giá bán 12 8tr xe rất mới cam kết mua về sử dụng ngay lh xem xe ở aeon tân phú,0,0,0,0,0,1,0,6858022.698399442,5941977.301600558
23000000.0,23.81 tr,27.95 tr,Honda,Winner,123,Tay côn/Moto,100 - 175 cc,Việt Nam,3,30.75,xe winner xe winrer đời 2023 xe zin đẹp ít sử dụng nên cần bán lại,0,0,0,0,0,1,0,25448549.805560566,-2448549.8055605665
36000000.0,26.5 tr,31.11 tr,Honda,Future,35000,Xe số,100 - 175 cc,Việt Nam,3,8750.0,cần bán xe cần bán fur led 2023 ode 35 000km xe dọn kiểng và đã lên pxl bảo đảm ga lanh và nhẹ xe giá bán ib e các món đã lên xe smartkey cùm tpt pô móc theo bài cổ titan full dàn chân wave yên 2 tầng lót kimdan chân gác cup chân trống nghiêng và giữa inox full ốc salaya phuộc full bi cầu và led audi trước sau pxl cô gió lớn họng xăng zin móc lọc gió ecu redleo mua mới còn nguyên hộp heo nissin 2 pit kèm pass dây dầu đĩa x1r căm nova hộp cam niềng zin đùm zin mong ad duyệt bài giúp nha xin cám ơn 17bạn và 16 người kháctất cả cảm xúc,0,0,0,1,0,1,0,29428081.47314815,6571918.5268518515
41000000.0,81.44 tr,95.6 tr,Honda,CB,31000,Tay côn/Moto,100 - 175 cc,Nước khác,7,3875.0,cb150r streetfire thông tin về xe odo 31 000 km phiên bản 2019 biển số thành phố 59 chính chủ sang tên toàn quốc thay nhớt fuchs mannol liqui đều đặn có sẵn cảng sau givi ghi đông accossato tay thắng rcb chính hãng tay côn twm gù carbon thay bên shop 2 bánh bảo trì bảo dưỡng định kỳ gần nhất vừa thay bình và lọc gió mới cặp lốp michelin trước dunlop sau vừa thay mới toanh có bảo vệ két nước yếm che bánh sau xe chạy chill khá phong cách và tạo điểm nhấn trên đường phố bao test 12x cá nhân mình thấy tốc độ hợp lý cho em nó là 7x cảm giác thoáng máy và êm ái đồ theo xe còn đầy đủ cho anh em về zin nhé,0,1,0,0,0,1,1,28872656.76002512,12127343.239974879
